	Transaction No.	Security ID - Current	Security Name - Current	Model Portfolio Code	Created Date	Trade Date	Payment Date	Created by User	Business Transaction Code	Elementary Transaction Code	Elementary Transaction Code Name	Settlement Currency Code - Transaction	Net Proceeds PC	Net Proceeds QC	Net Proceeds SC	Settlement Date	Finance Account Name	Nominal	Current Value PC	Current Value QC	SCD_Trx_No	SCDID_CUSIP	Ticket Status ID	Ticket Status	Ticket Type	Ticket Type Name	Trade Date_r	Due_Settlement_Date	Model Portfolio	Investment	Investment Amount	Investment Currency	Send to SCD	Funding Amount	Funding Currency	Creator	CreateDate	SourceSystem	LastUpdatedDateTime	Ticketing_Ticket	diff
75299	20171101060454.0	FS1000636	TPP Follow-on Fund I, LP	MFS1000636	20171102.0	20171102.0	20171102.0	Server job user	GenCost	General Cost	General Cost	USD	19056611.82	14878098.0	14878098.0	20171102.0		0.0	0.0	0.0	75299	FS1000636	4	Closed	1	Capital Call	2017-11-02 00:00:00.000	2017-11-02 00:00:00.000	MFS1000636	TPP Follow-on Fund I, LP	14878098.00000	USD	Yes	14878098.00000	USD	 	2017-11-01 09:06:55.387	Investran	2017-11-02 10:03:15.967	75299	0.0
75300	20171101060456.0	FS1000635	TPP Opportunity Fund I, LP	MFS1000635	20171102.0	20171102.0	20171102.0	Server job user	GenCost	General Cost	General Cost	USD	6128753.26	4784911.0	4784911.0	20171102.0		0.0	0.0	0.0	75300	FS1000635	4	Closed	1	Capital Call	2017-11-02 00:00:00.000	2017-11-02 00:00:00.000	MFS1000635	TPP Opportunity Fund I, LP	4784911.00000	USD	Yes	4784911.00000	USD	 	2017-11-01 09:10:19.550	Investran	2017-11-02 09:59:24.660	75300	0.0
75305	20171101060482.0	FS1000160	Resolute Fund II (PIP)	M76299D945	20171106.0	20171102.0	20171102.0	Batch job user	GenCost	General Cost	General Cost	USD	-1594448.19	-1244836.0	-1244836.0	20171102.0		0.0	0.0	0.0	75305	76299D945	4	Closed	2	Cash Distribution	2017-11-02 00:00:00.000	2017-11-02 00:00:00.000	M76299D945	Resolute Fund II (PIP)	1244836.00000	USD	Yes	1244836.00000	USD	 	2017-11-01 09:47:58.623	Investran	2017-11-06 11:49:27.173	75305	-2489672.0
75306	20171101060515.0	FS1000161	Resolute Fund II L.P.	M76199H921	20171102.0	20171102.0	20171102.0	Batch job user	GenCost	General Cost	General Cost	USD	-32146132.88	-25097500.0	-25097500.0	20171102.0		0.0	0.0	0.0	75306	76199H921	8	Pending review by {0}	2	Cash Distribution	2017-11-02 00:00:00.000	2017-11-02 00:00:00.000	M76199H921	Resolute Fund II, L.P.	25097500.00000	USD	Yes	25097500.00000	USD	Ortiz, Christopher	2017-11-01 09:59:59.603	Investran	2017-11-02 12:17:10.010	75306	-50195000.0
75311	20171101060566.0	PD1000258	SMART Modular Technologies Inc. L+7 8/27/2017	MPD2000105	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	-6355.38	-5085.93	-6355.38	20171031.0	INCOME TAX EXPENSE - INV RELATED FGN DIR PRIV DEBT	0.0	0.0	0.0	75311	PD1000258	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MPD2000105	SMART Modular Technologies Inc. L+7 8/27/2017	5085.93000	USD	Yes	6355.38000	CAD	Gavadza, Olena	2017-11-01 10:30:11.450		2017-11-01 15:47:46.947	75311	-10171.86
75311	20171101060566.0	PD1000258	SMART Modular Technologies Inc. L+7 8/27/2017	MPD2000105	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	-6355.38	-5085.93	-6355.38	20171031.0	DUE TO SUB-INV EXP-CHQ DIR PRIV DEBT	0.0	0.0	0.0	75311	PD1000258	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MPD2000105	SMART Modular Technologies Inc. L+7 8/27/2017	5085.93000	USD	Yes	6355.38000	CAD	Gavadza, Olena	2017-11-01 10:30:11.450		2017-11-01 15:47:46.947	75311	-10171.86
75311	20171101060566.0	PD1000258	SMART Modular Technologies Inc. L+7 8/27/2017	MPD2000105	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	-6355.38	-5085.93	-6355.38	20171031.0	CGAP:FX CONTROL ACCOUNT - SETL	0.0	0.0	0.0	75311	PD1000258	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MPD2000105	SMART Modular Technologies Inc. L+7 8/27/2017	5085.93000	USD	Yes	6355.38000	CAD	Gavadza, Olena	2017-11-01 10:30:11.450		2017-11-01 15:47:46.947	75311	-10171.86
75311	20171101060566.0	PD1000258	SMART Modular Technologies Inc. L+7 8/27/2017	MPD2000105	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	-6355.38	-5085.93	-6355.38	20171031.0	CGAP:FX CONTROL ACCOUNT - SETL	0.0	0.0	0.0	75311	PD1000258	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MPD2000105	SMART Modular Technologies Inc. L+7 8/27/2017	5085.93000	USD	Yes	6355.38000	CAD	Gavadza, Olena	2017-11-01 10:30:11.450		2017-11-01 15:47:46.947	75311	-10171.86
75313	20171101060571.0	FS1000079	ESP CPPIB European MidMarket Fund	M99UUKH905	20171108.0	20171108.0	20171108.0	Batch job user	GenCost	General Cost	General Cost	EUR	-4603424.62	-3118866.8	-3118866.8	20171108.0		0.0	0.0	0.0	75313	99UUKH905	1	Pending approval by {0}	2	Cash Distribution	2017-11-08 00:00:00.000	2017-11-08 00:00:00.000	M99UUKH905	ESP CPPIB European MidMarket Fund	3118866.80000	EUR	Yes	3118866.80000	EUR	Nechayevska, Dasha	2017-11-01 10:40:33.930	Investran	2017-11-01 16:12:49.890	75313	-6237733.6
75315	20171101060573.0	FS1000383	Siris Partners III, L.P.	MFS1000383	20171106.0	20171109.0	20171109.0	Server job user	GenCost	General Cost	General Cost	USD	47905825.53	37162226.0	37162226.0	20171109.0		0.0	0.0	0.0	75315	FS1000383	4	Closed	1	Capital Call	2017-11-09 00:00:00.000	2017-11-09 00:00:00.000	MFS1000383	Siris Partners III, L.P.	37162226.00000	USD	Yes	37162226.00000	USD	 	2017-11-01 10:40:38.943	Investran	2017-11-06 09:55:39.443	75315	0.0
75316	20171101060578.0	FS1000617	Siris Partners III, LP (Mosers)	MFS1000617	20171106.0	20171109.0	20171109.0	Server job user	GenCost	General Cost	General Cost	USD	9542402.9	7402376.0	7402376.0	20171109.0		0.0	0.0	0.0	75316	FS1000617	4	Closed	1	Capital Call	2017-11-09 00:00:00.000	2017-11-09 00:00:00.000	MFS1000617	Siris Partners III, LP (Mosers)	7402376.00000	USD	Yes	7402376.00000	USD	 	2017-11-01 10:46:39.490	Investran	2017-11-06 11:35:20.357	75316	0.0
75320	20171101060640.0	IN1000064	Pacific National	MIN1000064	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	-356.43	-360.61	-360.61	20171031.0	INTEREST RECEIVABLE INFRASTRUCTURE	0.0	0.0	0.0	75320	IN1000064	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000064	Pacific National	360.61000	AUD	Yes	360.61000	AUD	Shang, Jenny	2017-11-01 11:18:27.803	Investran	2017-11-01 19:47:30.820	75320	-721.22
75320	20171101060640.0	IN1000064	Pacific National	MIN1000064	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	-356.43	-360.61	-360.61	20171031.0	DUE TO BROKER FGN INFRASTRUCTURE	0.0	0.0	0.0	75320	IN1000064	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000064	Pacific National	360.61000	AUD	Yes	360.61000	AUD	Shang, Jenny	2017-11-01 11:18:27.803	Investran	2017-11-01 19:47:30.820	75320	-721.22
75320	20171101060640.0	IN1000064	Pacific National	MIN1000064	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	-356.43	-360.61	-360.61	20171031.0	INTEREST INC FGN INFRASTRUCTURE	0.0	0.0	0.0	75320	IN1000064	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000064	Pacific National	360.61000	AUD	Yes	360.61000	AUD	Shang, Jenny	2017-11-01 11:18:27.803	Investran	2017-11-01 19:47:30.820	75320	-721.22
75320	20171101060640.0	IN1000064	Pacific National	MIN1000064	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	-356.43	-360.61	-360.61	20171031.0	OTH INV EXP FGN INFRASTRUCTURE	0.0	0.0	0.0	75320	IN1000064	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000064	Pacific National	360.61000	AUD	Yes	360.61000	AUD	Shang, Jenny	2017-11-01 11:18:27.803	Investran	2017-11-01 19:47:30.820	75320	-721.22
75324	20171101060651.0	IN1000065	North West Roads Group-CART	MIN1000065	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	-21.86	-22.12	-22.12	20171031.0	DUE TO BROKER FGN INFRASTRUCTURE	0.0	0.0	0.0	75324	IN1000065	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000065	North West Roads Group-CART	22.12000	AUD	Yes	22.12000	AUD	Shang, Jenny	2017-11-01 11:25:33.803	Investran	2017-11-01 15:33:59.080	75324	-44.24
75324	20171101060651.0	IN1000065	North West Roads Group-CART	MIN1000065	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	-21.86	-22.12	-22.12	20171031.0	INTEREST INC FGN INFRASTRUCTURE	0.0	0.0	0.0	75324	IN1000065	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000065	North West Roads Group-CART	22.12000	AUD	Yes	22.12000	AUD	Shang, Jenny	2017-11-01 11:25:33.803	Investran	2017-11-01 15:33:59.080	75324	-44.24
75324	20171101060651.0	IN1000065	North West Roads Group-CART	MIN1000065	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	-21.86	-22.12	-22.12	20171031.0	OTH INV EXP FGN INFRASTRUCTURE	0.0	0.0	0.0	75324	IN1000065	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000065	North West Roads Group-CART	22.12000	AUD	Yes	22.12000	AUD	Shang, Jenny	2017-11-01 11:25:33.803	Investran	2017-11-01 15:33:59.080	75324	-44.24
75324	20171101060651.0	IN1000065	North West Roads Group-CART	MIN1000065	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	-21.86	-22.12	-22.12	20171031.0	INTEREST RECEIVABLE INFRASTRUCTURE	0.0	0.0	0.0	75324	IN1000065	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000065	North West Roads Group-CART	22.12000	AUD	Yes	22.12000	AUD	Shang, Jenny	2017-11-01 11:25:33.803	Investran	2017-11-01 15:33:59.080	75324	-44.24
75325	20171101060667.0	FS1000409	Corporate Expenses ? Funds (VCC)	MFS1000409	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	181.8	181.8	181.8	20171031.0	OTH INV EXP FGN PRIV EQUITY	0.0	0.0	0.0	75325	FS1000409	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MFS1000409	Corporate Expenses - Funds (VCC)	181.80000	CAD	Yes	181.80000	CAD	Gavadza, Olena	2017-11-01 11:32:44.627	Investran	2017-11-01 15:29:32.523	75325	0.0
75325	20171101060667.0	FS1000409	Corporate Expenses ? Funds (VCC)	MFS1000409	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	181.8	181.8	181.8	20171031.0	DUE TO SUB-INV EXP-CHQ PRIV EQUITY	0.0	0.0	0.0	75325	FS1000409	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MFS1000409	Corporate Expenses - Funds (VCC)	181.80000	CAD	Yes	181.80000	CAD	Gavadza, Olena	2017-11-01 11:32:44.627	Investran	2017-11-01 15:29:32.523	75325	0.0
75326	20171101060668.0	FS1000607	New Mountain Partners III, LP (Mosers)	MFS1000607	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	291.82	226.37	291.82	20171031.0	DUE TO SUB-INV EXP-CHQ PRIV EQUITY	0.0	0.0	0.0	75326	FS1000607	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MFS1000607	New Mountain Partners III, LP (Mosers)	226.37000	USD	Yes	291.82000	CAD	Gavadza, Olena	2017-11-01 11:32:45.193	Investran	2017-11-01 15:30:16.073	75326	0.0
75326	20171101060668.0	FS1000607	New Mountain Partners III, LP (Mosers)	MFS1000607	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	291.82	226.37	291.82	20171031.0	CGAP:FX CONTROL ACCOUNT - SETL	0.0	0.0	0.0	75326	FS1000607	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MFS1000607	New Mountain Partners III, LP (Mosers)	226.37000	USD	Yes	291.82000	CAD	Gavadza, Olena	2017-11-01 11:32:45.193	Investran	2017-11-01 15:30:16.073	75326	0.0
75326	20171101060668.0	FS1000607	New Mountain Partners III, LP (Mosers)	MFS1000607	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	291.82	226.37	291.82	20171031.0	OTH INV EXP FGN PRIV EQUITY	0.0	0.0	0.0	75326	FS1000607	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MFS1000607	New Mountain Partners III, LP (Mosers)	226.37000	USD	Yes	291.82000	CAD	Gavadza, Olena	2017-11-01 11:32:45.193	Investran	2017-11-01 15:30:16.073	75326	0.0
