Ticket,SCDID_CUSIP,Ticket Status ID,Ticket Status,Ticket Type,Ticket Type Name,Trade Date,Due_Settlement_Date,Model Portfolio,Investment,Investment Amount,Investment Currency,Send to SCD,Funding Amount,Funding Currency,Creator,CreateDate,SourceSystem,LastUpdatedDateTime
-------,-----------,----------------,-------------,-----------,----------------,----------,-------------------,---------------,----------,-----------------,-------------------,-----------,--------------,----------------,-------,----------,------------,-------------------
"75299","FS1000636","4","Closed","1","Capital Call",2017-11-02 00:00:00.000,2017-11-02 00:00:00.000,"MFS1000636","TPP Follow-on Fund I, LP",14878098.00000,"USD","Yes",14878098.00000,"USD"," ",2017-11-01 09:06:55.387,Investran,2017-11-02 10:03:15.967
"75300","FS1000635","4","Closed","1","Capital Call",2017-11-02 00:00:00.000,2017-11-02 00:00:00.000,"MFS1000635","TPP Opportunity Fund I, LP",4784911.00000,"USD","Yes",4784911.00000,"USD"," ",2017-11-01 09:10:19.550,Investran,2017-11-02 09:59:24.660
"75305","76299D945","4","Closed","2","Cash Distribution",2017-11-02 00:00:00.000,2017-11-02 00:00:00.000,"M76299D945","Resolute Fund II (PIP)",1244836.00000,"USD","Yes",1244836.00000,"USD"," ",2017-11-01 09:47:58.623,Investran,2017-11-06 11:49:27.173
"75306","76199H921","8","Pending review by {0}","2","Cash Distribution",2017-11-02 00:00:00.000,2017-11-02 00:00:00.000,"M76199H921","Resolute Fund II, L.P.",25097500.00000,"USD","Yes",25097500.00000,"USD","Ortiz, Christopher",2017-11-01 09:59:59.603,Investran,2017-11-02 12:17:10.010
"75307","PD1000312","4","Closed","2","Cash Distribution",2017-10-02 00:00:00.000,2017-10-02 00:00:00.000,"MPD1000312","Nordco Inc. L+6.25% 08/26/20",1272373.75000,"USD","No",0," "," ",2017-11-01 10:10:17.713,WSO,2017-11-06 08:53:31.787
"75308","PD1000394","4","Closed","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPD1000394","Project Soldier L+8.5% -12/29/2023",302866.67000,"USD","No",0," "," ",2017-11-01 10:20:13.817,WSO,2017-11-06 07:55:39.380
"75309","PDI100016","5","Cancelled","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MP2I100016","Kennedy Trust Royalty 2 08/21/2018",389180.18000,"USD","Yes",389180.18000,"USD","Chow, Katelyn",2017-11-01 10:20:14.317,WSO,2017-11-03 14:55:10.413
"75311","PD1000258","6","Manual","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPD2000105","SMART Modular Technologies Inc. L+7 8/27/2017",5085.93000,"USD","Yes",6355.38000,"CAD","Gavadza, Olena",2017-11-01 10:30:11.450,NULL,2017-11-01 15:47:46.947
"75313","99UUKH905","1","Pending approval by {0}","2","Cash Distribution",2017-11-08 00:00:00.000,2017-11-08 00:00:00.000,"M99UUKH905","ESP CPPIB European MidMarket Fund",3118866.80000,"EUR","Yes",3118866.80000,"EUR","Nechayevska, Dasha",2017-11-01 10:40:33.930,Investran,2017-11-01 16:12:49.890
