"Transaction No. In Originating","Transaction No.","Security ID - Current","Security Name - Current","Model Portfolio Code","Created Date","Trade Date","Payment Date","Created by User","Business Transaction Code","Elementary Transaction Code","Elementary Transaction Code Name","Settlement Currency Code - Transaction","Net Proceeds PC","Net Proceeds QC","Net Proceeds SC","Settlement Date","Finance Account Name","Nominal","Current Value PC","Current Value QC"
"49026326","20171108004618","FXS1193832","FXSPT_CAD/USD","MPDI100052",20171108,20171110,20171110,"Batch job user","CloseFXBuy","FXClRcvBa","FX Outright Close Rcv. Base Ccy","CAD",4378.19,4378.19,4378.19,20171110,"",4378.1900000,4378.19,4378.19
"49026327","20171108004618","FXS1193832","FXSPT_CAD/USD","MPDI100052",20171108,20171110,20171110,"Batch job user","CloseFXBuy","FXClPayPr","FX Outright Close Pay Price Ccy","USD",4378.19,3436.57,3436.57,20171110,"",3436.5700000,4378.19,3436.57
"49026008","20171108004354","FXS1193832","FXSPT_CAD/USD","MPDI100052",20171108,20171108,20171108,"Manda Yu","BuyFXFwdDbd","FXFOpInBD","FX Fwd Open Base Ccy Def","CAD",0.00,0.00,0.00,20171108,"",4378.1900000,4378.19,4378.19
"49026009","20171108004354","FXS1193832","FXSPT_CAD/USD","MPDI100052",20171108,20171108,20171108,"Manda Yu","BuyFXFwdDbd","FXOpOutPD","FX Fwd Open Out Price Ccy Def","USD",0.00,0.00,0.00,20171108,"",3436.5700000,4378.19,3436.57
"49025802","20171108004247","PD1000386","Square Capital","MPD1000387",20171108,20171108,20171108,"Katelyn Chow","Sell","Sell","Sell","USD",218223.70,171290.19,171290.19,20171108,"",172150.6400000,202443.58,158903.91
"49025800","20171108004246","PD1000386","Square Capital","MPD1000387",20171108,20171108,20171108,"Katelyn Chow","Buy","Buy","Buy","USD",401510.66,315157.50,315157.50,20171108,"",337885.0000000,401510.66,315157.50
"314668","20171108004244","OSB CN","NORBORD INC","M895996916",20171108,20171108,20171110,"Christopher Ortiz","Sell","Sell","Sell","CAD",1860698.00,1860698.00,1860698.00,20171110,"",40600.0000000,1861104.00,1861104.00
"314663","20171108004221","OSB CN","NORBORD INC","MFS1000324",20171108,20171108,20171110,"Server job user","Sell","Sell","Sell","CAD",6835500.00,6835500.00,6835500.00,20171110,"",150000.0000000,6840000.00,6840000.00
"75574","20171108002816","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171108,20171109,20171109,"Server job user","GenCost","General Cost","General Cost","USD",63406.09,63406.09,49543.75,20171109,"",0.0000000,0.00,0.00
"75612","20171108001867","PR1000127","Corporate Expenses - Natural Resources (VCC)","MPR1000127",20171108,20171109,20171109,"Server job user","GenCost","General Cost","General Cost","CAD",10385.27,10385.27,10385.27,20171109,"",0.0000000,0.00,0.00
"75610","20171108001843","FS1000522","KKR 2006 Fund LP (TCFoF)","MFS1000522",20171108,20171122,20171122,"Server job user","GenCost","General Cost","General Cost","USD",12587.12,9880.00,9880.00,20171122,"",0.0000000,0.00,0.00
"75608","20171108001802","FS1000544","KKR 2006 Fund, LP (Ardian)","MFS1000544",20171108,20171122,20171122,"Server job user","GenCost","General Cost","General Cost","USD",239857.25,188271.00,188271.00,20171122,"",0.0000000,0.00,0.00
"75606","20171108001800","FS1000238","KKR 2006 Fund, L.P. (CPPIB LAV)","MFS1000238",20171108,20171122,20171122,"Server job user","GenCost","General Cost","General Cost","USD",233920.42,183611.00,183611.00,20171122,"",0.0000000,0.00,0.00
"75605","20171108001742","FS1000270","KKR 2006 Fund, L.P. (DBAH)","MFS1000270",20171108,20171122,20171122,"Server job user","GenCost","General Cost","General Cost","USD",50523.02,39657.00,39657.00,20171122,"",0.0000000,0.00,0.00
"75603","20171108000763","FS1000278","KKR North America Fund XI, L.P.","MFS1000278",20171108,20171122,20171122,"Server job user","GenCost","General Cost","General Cost","USD",459454.09,360639.00,360639.00,20171122,"",0.0000000,0.00,0.00
"75602","20171108000731","PD1000314","Corporate Expenses - PCI (VCC)","MPD1000314",20171108,20171109,20171109,"Server job user","GenCost","General Cost","General Cost","USD",12798.00,12798.00,10000.00,20171109,"",0.0000000,0.00,0.00
"49021069","20171108000722","PDI1000028","Project Holster (Netback)","MPDI100028",20171108,20171107,20171110,"Batch job user","GenCost","General Cost","General Cost","USD",0.00,0.00,0.00,20171110,"",0.0000000,0.00,0.00
"49021068","20171108000721","PDI1000028","Project Holster (Netback)","MPDI100028",20171108,20171107,20171110,"Matthew Hare","GenCost","General Cost","General Cost","USD",140.71,109.95,109.95,20171110,"",0.0000000,0.00,0.00
"49021066","20171108000720","PD1000279","Project Holster","MPD1000279",20171108,20171107,20171110,"Batch job user","GenCost","General Cost","General Cost","USD",-140.71,-109.95,-109.95,20171110,"",0.0000000,0.00,0.00
"75600","20171108000719","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171108,20171109,20171109,"Server job user","GenCost","General Cost","General Cost","USD",90801.81,90801.81,70950.00,20171109,"",0.0000000,0.00,0.00
"75599","20171108000714","PDI100028","Project Holster 8 (Netback)","MPDI100028",20171108,20171107,20171110,"Server job user","GenCost","General Cost","General Cost","USD",50392.13,39375.00,39375.00,20171110,"",0.0000000,0.00,0.00
"75598","20171108000713","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171108,20171109,20171109,"Server job user","GenCost","General Cost","General Cost","USD",16629.98,16629.98,12994.20,20171109,"",0.0000000,0.00,0.00
"75597","20171108000712","PD1000397","Project Holster 8 Revolver","MPD1000279",20171108,20171107,20171110,"Server job user","Buy","Buy","Buy","USD",1389382.88,1085625.00,1085625.00,20171110,"",1125000.0000000,1389382.88,1085625.00
"75596","20171108000711","PDI100073","Project Holster 7 (Netback)","MPDI100028",20171108,20171107,20171110,"Server job user","GenCost","General Cost","General Cost","USD",144457.43,112875.00,112875.00,20171110,"",0.0000000,0.00,0.00
"75595","20171108000710","PD1000385","Project Holster 7 Revolver","MPD1000279",20171108,20171107,20171110,"Server job user","Buy","Buy","Buy","USD",4366837.58,3412125.00,3412125.00,20171110,"",3525000.0000000,4366837.58,3412125.00
"75594","20171108000709","PDI1000031","Project Holster 4 (Netback)","MPDI100028",20171108,20171107,20171110,"Server job user","GenCost","General Cost","General Cost","USD",-50978.32,-39833.04,-39833.04,20171110,"",0.0000000,0.00,0.00
